"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"154","S100a5","ENSMUSG00000001023",23297.7434321605,0.430046974473313,0.355546699321265,1.20953724305209,0.226456511843832,0.999967202106179
"155","S100a6","ENSMUSG00000001025",175.969862019424,0.629097885525662,0.39740178829199,1.58302731406793,0.113415238947727,0.999967202106179
"156","Scn4a","ENSMUSG00000001027",5.07645202024859,3.95206636967582,1.61188839429107,2.45182382581394,0.0142134231771629,0.283190668420819
"157","Icam2","ENSMUSG00000001029",10.452985759655,1.82345417452796,1.09875961762002,1.65955696340357,0.0970036121969658,0.999967202106179
"158","Mapk7","ENSMUSG00000001034",477.106355928707,-0.168638510812868,0.316897649466349,-0.532154501924682,0.594618991944622,0.999967202106179
"159","Epn2","ENSMUSG00000001036",1309.82665593316,0.0155506961856265,0.19831531838026,0.0784139940002457,0.937498742204179,0.999967202106179
"160","B9d1","ENSMUSG00000001039",776.4630927121,-0.142987760564908,0.353845782346634,-0.404096269331351,0.68614192823832,0.999967202106179
"161","Sec24b","ENSMUSG00000001052",2342.6277291098,-0.100020451188132,0.285308593033388,-0.350569361142329,0.725911445698739,0.999967202106179
"162","N4bp3","ENSMUSG00000001053",32.0702608009416,-1.4013426486824,0.50154180188036,-2.79406949416488,0.00520492920178965,0.127589051687019
"163","Rmnd5b","ENSMUSG00000001054",480.546025342446,-0.217855526032633,0.359200749787934,-0.60650075524968,0.544182280984519,0.999967202106179
"164","Nhp2","ENSMUSG00000001056",250.52338110819,-0.189728920919942,0.245321084131831,-0.773390194289151,0.439291491401576,0.999967202106179
"165","Vps9d1","ENSMUSG00000001062",822.095902307874,0.00336077719107632,0.302946533635437,0.0110936314429682,0.991148744300818,0.999967202106179
"166","Zfp276","ENSMUSG00000001065",335.3179632681,-0.0953184234390034,0.255948441403265,-0.372412595741587,0.709585677256107,0.999967202106179
"167","Mfsd10","ENSMUSG00000001082",457.308060207598,0.0822996667393695,0.395305446132806,0.208192595231082,0.835078590071486,0.999967202106179
"168","Luzp1","ENSMUSG00000001089",152.494177263055,0.413011018195345,0.462701531190346,0.892607848374378,0.372067214724494,0.999967202106179
"169","Slc13a2","ENSMUSG00000001095",3.22322798724317,1.97774758436103,1.80555416448529,1.09536873679158,0.273355124822203,0.999967202106179
"170","Kctd10","ENSMUSG00000001098",211.319040269589,-0.185809433133772,0.29879080118797,-0.621871330693607,0.53402647799341,0.999967202106179
