"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"75","Sept1","ENSMUSG00000000486",30.3452897100498,0.00141670538794842,0.109910922078347,0.931076522952471,0.999967202106179
"76","Pdgfb","ENSMUSG00000000489",32.8160913636959,-0.0605474647873366,0.13443450324698,0.0123963808815456,0.253187296644621
"77","Acvrl1","ENSMUSG00000000530",3.91523879640271,-0.00166684592977152,0.110888701359646,0.828859873313559,0.999967202106179
"78","Grasp","ENSMUSG00000000531",294.936747540258,1.44957298847838,0.333535554973158,5.96845047147139e-07,4.04699448097834e-05
"79","Acvr1b","ENSMUSG00000000532",1200.4487719582,0.00152519912574949,0.104556395465963,0.968763485928422,0.999967202106179
"80","Tom1l2","ENSMUSG00000000538",1952.0819703943,-0.00469364431184052,0.104114843704391,0.895687023951915,0.999967202106179
"81","Zfp385a","ENSMUSG00000000552",142.478940141412,-0.0245254700231326,0.112045727034277,0.327837851352888,0.999967202106179
"82","Itga5","ENSMUSG00000000555",9.92775181522544,0.00612388914920367,0.110784471461445,0.602986286648165,0.999967202106179
"83","Gabra2","ENSMUSG00000000560",2.07864056713978,-0.00332304122681299,0.110950122243127,0.669967571089657,NA
"84","Wdr77","ENSMUSG00000000561",271.091954375466,0.00413588224053181,0.103180180282326,0.916382314132255,0.999967202106179
"85","Atp5f1","ENSMUSG00000000563",2853.33222077662,-0.00208813472052361,0.101427351364607,0.957808281349705,0.999967202106179
"86","Sox9","ENSMUSG00000000567",119.065892064193,0.0095293060033908,0.110558666661303,0.558741300395579,0.999967202106179
"87","Hnrnpd","ENSMUSG00000000568",1799.20036941443,0.00850908470302331,0.0999727174335466,0.849901934340626,0.999967202106179
"88","Dynlt1c","ENSMUSG00000000579",174.422454655377,-0.00415637555441099,0.107704258919052,0.875141113117804,0.999967202106179
"89","C1d","ENSMUSG00000000581",186.746226755733,-0.0353695066719299,0.108608006083205,0.401304616727355,0.999967202106179
"90","Gm2a","ENSMUSG00000000594",133.441472015571,-0.0309877407683635,0.114875131513449,0.192118415553987,0.999967202106179
