ENSMUSG00000070960	0	0	0
ENSMUSG00000088620	0	0	0
ENSMUSG00000082159	0	0	0
ENSMUSG00000026058	55	54	1
ENSMUSG00000064688	0	0	0
ENSMUSG00000103482	9	9	0
ENSMUSG00000104498	4	3	1
ENSMUSG00000104313	2	2	0
ENSMUSG00000102865	0	0	0
ENSMUSG00000102321	5	5	0
ENSMUSG00000091318	16	0	16
ENSMUSG00000089489	0	0	0
ENSMUSG00000104433	0	0	0
ENSMUSG00000089395	2	2	0
ENSMUSG00000102926	0	0	0
ENSMUSG00000100497	0	0	0
ENSMUSG00000102917	0	0	0
ENSMUSG00000100481	0	0	0
ENSMUSG00000100590	0	0	0
ENSMUSG00000088750	0	0	0
ENSMUSG00000104230	1	1	0
ENSMUSG00000101754	1	0	1
ENSMUSG00000065223	0	0	0
ENSMUSG00000100318	0	0	0
ENSMUSG00000101612	0	0	0
ENSMUSG00000065260	0	0	0
ENSMUSG00000026134	186	184	2
ENSMUSG00000101682	7	0	7
ENSMUSG00000102714	18	18	0
ENSMUSG00000102093	4	0	4
ENSMUSG00000103746	95	91	4
ENSMUSG00000102198	18	4	14
ENSMUSG00000004768	1174	1148	26
ENSMUSG00000042215	82	102	4
ENSMUSG00000103072	0	0	24
ENSMUSG00000042197	1833	1827	6
ENSMUSG00000081402	12	11	1
ENSMUSG00000042182	8	8	0
ENSMUSG00000104416	0	0	0
ENSMUSG00000026131	19733	20981	41
ENSMUSG00000103596	30	30	0
ENSMUSG00000099382	1	0	1
ENSMUSG00000084506	0	0	0
ENSMUSG00000103364	114	114	0
ENSMUSG00000105982	1	1	0
ENSMUSG00000096992	139	11	1052
ENSMUSG00000103001	15	0	380
ENSMUSG00000104397	0	0	0
ENSMUSG00000102839	0	0	0
ENSMUSG00000101206	0	0	0
ENSMUSG00000101462	9	9	0
ENSMUSG00000102336	44	44	0
ENSMUSG00000092852	0	0	0
ENSMUSG00000042111	943	941	2
ENSMUSG00000101711	0	1	118
ENSMUSG00000026127	481	599	1
ENSMUSG00000026126	28	39	0
ENSMUSG00000100280	6	0	17
ENSMUSG00000101223	2	0	2
ENSMUSG00000026125	0	0	0
ENSMUSG00000101116	0	0	0
ENSMUSG00000026124	0	2	0
ENSMUSG00000101803	0	0	0
ENSMUSG00000037529	2	0	4
ENSMUSG00000045815	0	0	0
ENSMUSG00000045174	52	50	2
ENSMUSG00000100524	0	0	0
ENSMUSG00000102499	0	0	0
ENSMUSG00000103521	0	0	0
ENSMUSG00000104098	0	0	0
ENSMUSG00000037509	211	189	236
ENSMUSG00000102537	4	4	0
ENSMUSG00000102612	1	0	1
ENSMUSG00000118272	0	0	0
ENSMUSG00000104002	38	70	79
ENSMUSG00000037503	1757	1779	87
ENSMUSG00000104358	70	7	71
ENSMUSG00000026123	1062	1061	1
ENSMUSG00000103716	2	2	0
ENSMUSG00000103548	2	2	0
ENSMUSG00000103760	0	0	0
ENSMUSG00000103997	0	0	0
ENSMUSG00000077231	0	0	0
ENSMUSG00000104417	23	15	8
ENSMUSG00000064601	0	0	0
ENSMUSG00000101714	0	0	0
ENSMUSG00000102531	0	0	0
ENSMUSG00000103096	0	0	0
ENSMUSG00000102279	0	0	0
ENSMUSG00000103708	0	0	0
ENSMUSG00000104201	0	0	0
ENSMUSG00000102434	0	0	0
ENSMUSG00000045216	3235	3846	11
ENSMUSG00000104523	0	1	621
ENSMUSG00000102202	294	4	290
ENSMUSG00000037470	3887	3874	13
ENSMUSG00000098752	0	0	0
ENSMUSG00000047180	102	98	4
ENSMUSG00000037447	1027	967	61
ENSMUSG00000102762	36	14	22
ENSMUSG00000010453	2527	2516	12
ENSMUSG00000098680	0	0	0
ENSMUSG00000037432	2060	5	2368
ENSMUSG00000001143	6400	6647	66
ENSMUSG00000037408	1856	1848	8
ENSMUSG00000104316	69	69	0
ENSMUSG00000106081	0	0	0
ENSMUSG00000001138	304	300	19
ENSMUSG00000102845	0	7	8
ENSMUSG00000067653	40	33	7
ENSMUSG00000109510	0	0	0
ENSMUSG00000079610	171	164	7
ENSMUSG00000026121	1299	1547	22
ENSMUSG00000087589	163	83	649
ENSMUSG00000046337	298	579	18
ENSMUSG00000089906	2	2	0
ENSMUSG00000077939	0	0	0
